artifactType,artifactLabel,domain,competencyLabel,difficulty,priority,candidateCount,sampleQuestionIds,artifactBrief,generationPrompt
"data-chart-dashboard","Dashboard / chart / calculation evidence","D6","Trust and challenge culture","advanced","high","6","NH-EXECUTIVE-CEO-D6-TRUST-CULTURE-ADVANCED-02; NH-EXECUTIVE-CEO-D6-TRUST-CULTURE-ADVANCED-03; NH-EXECUTIVE-CEO-D6-TRUST-CULTURE-ADVANCED-04; NH-EXECUTIVE-PEOPLE-D6-TRUST-CULTURE-ADVANCED-02; NH-EXECUTIVE-PEOPLE-D6-TRUST-CULTURE-ADVANCED-03; NH-EXECUTIVE-PEOPLE-D6-TRUST-CULTURE-ADVANCED-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D4","Regulatory and policy fluency","advanced","high","6","NH-EXECUTIVE-PEOPLE-D4-REGULATORY-POLICY-ADVANCED-02; NH-EXECUTIVE-PEOPLE-D4-REGULATORY-POLICY-ADVANCED-03; NH-EXECUTIVE-PEOPLE-D4-REGULATORY-POLICY-ADVANCED-04; NH-EXECUTIVE-FINANCE-D4-REGULATORY-POLICY-ADVANCED-02; NH-EXECUTIVE-FINANCE-D4-REGULATORY-POLICY-ADVANCED-03; NH-EXECUTIVE-FINANCE-D4-REGULATORY-POLICY-ADVANCED-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"media-asset-review","Media / asset provenance evidence","D3","Media provenance","advanced","high","6","NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-ADVANCED-01; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-ADVANCED-02; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-ADVANCED-03; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-ADVANCED-04; NH-INDUSTRY-RETAIL-D3-MEDIA-PROVENANCE-ADVANCED-02; NH-INDUSTRY-RETAIL-D3-MEDIA-PROVENANCE-ADVANCED-03","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"media-asset-review","Media / asset provenance evidence","D5","Use-case evaluation","proficient","high","6","NH-FUNCTION-MARKETING-D5-USECASE-FIT-PROFICIENT-02; NH-FUNCTION-MARKETING-D5-USECASE-FIT-PROFICIENT-03; NH-FUNCTION-MARKETING-D5-USECASE-FIT-PROFICIENT-04; NH-INDUSTRY-RETAIL-D5-USECASE-FIT-PROFICIENT-02; NH-INDUSTRY-RETAIL-D5-USECASE-FIT-PROFICIENT-04; NH-EXECUTIVE-TRANSFORMATION-D5-USECASE-FIT-PROFICIENT-01","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"security-audit-log","Security / access / audit evidence","D4","Data protection and privacy","proficient","high","6","NH-FUNCTION-GENERAL-D4-DATA-PRIVACY-PROFICIENT-03; NH-FUNCTION-GENERAL-D4-DATA-PRIVACY-PROFICIENT-04; NH-FUNCTION-PEOPLE-D4-DATA-PRIVACY-PROFICIENT-01; NH-INDUSTRY-EDUCATION-D4-DATA-PRIVACY-PROFICIENT-03; NH-INDUSTRY-HEALTHCARE-D4-DATA-PRIVACY-PROFICIENT-04; NH-EXECUTIVE-PEOPLE-D4-DATA-PRIVACY-PROFICIENT-03","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"security-audit-log","Security / access / audit evidence","D3","Fraud and manipulation detection","proficient","high","6","NH-FUNCTION-FINANCE-D3-FRAUD-DETECTION-PROFICIENT-02; NH-FUNCTION-FINANCE-D3-FRAUD-DETECTION-PROFICIENT-04; NH-INDUSTRY-FINANCIAL-D3-FRAUD-DETECTION-PROFICIENT-01; NH-INDUSTRY-FINANCIAL-D3-FRAUD-DETECTION-PROFICIENT-03; NH-INDUSTRY-FINANCIAL-D3-FRAUD-DETECTION-PROFICIENT-04; NH-EXECUTIVE-FINANCE-D3-FRAUD-DETECTION-PROFICIENT-01","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"source-comparison-pack","Source comparison / version evidence","D1","Generative AI mechanics","advanced","high","6","NH-CORE-GENERAL-D1-GENAI-MECHANICS-ADVANCED-01; NH-CORE-GENERAL-D1-GENAI-MECHANICS-ADVANCED-02; NH-CORE-GENERAL-D1-GENAI-MECHANICS-ADVANCED-05; NH-FUNCTION-MARKETING-D1-GENAI-MECHANICS-ADVANCED-04; NH-FUNCTION-TECHNICAL-D1-GENAI-MECHANICS-ADVANCED-03; NH-EXECUTIVE-TECHNOLOGY-D1-GENAI-MECHANICS-ADVANCED-03","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"source-comparison-pack","Source comparison / version evidence","D3","Media provenance","awareness","high","6","NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-AWARENESS-02; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-AWARENESS-03; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-AWARENESS-05; NH-CORE-GENERAL-D3-MEDIA-PROVENANCE-AWARENESS-07; NH-FUNCTION-MARKETING-D3-MEDIA-PROVENANCE-AWARENESS-04; NH-INDUSTRY-RETAIL-D3-MEDIA-PROVENANCE-AWARENESS-01","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
"workflow-trace","Workflow / agent trace","D2","Output refinement","advanced","high","6","NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-ADVANCED-04; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-ADVANCED-06; NH-CORE-GENERAL-D2-OUTPUT-REFINEMENT-ADVANCED-08; NH-FUNCTION-MARKETING-D2-OUTPUT-REFINEMENT-ADVANCED-01; NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-ADVANCED-03; NH-EXECUTIVE-TRANSFORMATION-D2-OUTPUT-REFINEMENT-ADVANCED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D3","Source and claim verification","applied","high","6","NH-CORE-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-06; NH-FUNCTION-GENERAL-D3-SOURCE-VERIFICATION-APPLIED-01; NH-FUNCTION-TECHNICAL-D3-SOURCE-VERIFICATION-APPLIED-02; NH-FUNCTION-TECHNICAL-D3-SOURCE-VERIFICATION-APPLIED-04; NH-EXECUTIVE-TECHNOLOGY-D3-SOURCE-VERIFICATION-APPLIED-02; NH-EXECUTIVE-TECHNOLOGY-D3-SOURCE-VERIFICATION-APPLIED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D3","Data and chart judgment","awareness","high","6","NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-AWARENESS-06; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-AWARENESS-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-AWARENESS-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-AWARENESS-02; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-AWARENESS-03; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-AWARENESS-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D3","Data and chart judgment","applied","high","6","NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-06; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-APPLIED-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-APPLIED-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-APPLIED-02; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-APPLIED-03; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-APPLIED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D3","Data and chart judgment","proficient","high","6","NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-06; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-02; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-03; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-PROFICIENT-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D3","Data and chart judgment","advanced","high","6","NH-CORE-GENERAL-D3-DATA-CHART-JUDGMENT-ADVANCED-06; NH-FUNCTION-GENERAL-D3-DATA-CHART-JUDGMENT-ADVANCED-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-ADVANCED-01; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-ADVANCED-02; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-ADVANCED-03; NH-FUNCTION-TECHNICAL-D3-DATA-CHART-JUDGMENT-ADVANCED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D5","Use-case evaluation","awareness","high","6","NH-CORE-GENERAL-D5-USECASE-FIT-AWARENESS-06; NH-FUNCTION-GENERAL-D5-USECASE-FIT-AWARENESS-01; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-AWARENESS-01; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-AWARENESS-02; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-AWARENESS-03; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-AWARENESS-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"workflow-trace","Workflow / agent trace","D5","Use-case evaluation","advanced","medium","6","NH-CORE-GENERAL-D5-USECASE-FIT-ADVANCED-06; NH-FUNCTION-GENERAL-D5-USECASE-FIT-ADVANCED-01; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-ADVANCED-01; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-ADVANCED-02; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-ADVANCED-03; NH-FUNCTION-TECHNICAL-D5-USECASE-FIT-ADVANCED-04","Workflow diagram or event trace showing model step, retrieval step, tool permission, approval gate, and failure point.","Create a realistic workflow trace screen with timestamps, model/retrieval/tool steps, permission scope, approval gate, retry count, and a marked failure or handoff gap."
"communication-thread","Email / chat / ticket thread","D3","Fraud and manipulation detection","awareness","high","5","NH-CORE-GENERAL-D3-FRAUD-DETECTION-AWARENESS-01; NH-CORE-GENERAL-D3-FRAUD-DETECTION-AWARENESS-03; NH-CORE-GENERAL-D3-FRAUD-DETECTION-AWARENESS-04; NH-CORE-GENERAL-D3-FRAUD-DETECTION-AWARENESS-07; NH-FUNCTION-FINANCE-D3-FRAUD-DETECTION-AWARENESS-04","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity."
"communication-thread","Email / chat / ticket thread","D4","Regulatory and policy fluency","awareness","high","5","NH-CORE-GENERAL-D4-REGULATORY-POLICY-AWARENESS-04; NH-FUNCTION-PEOPLE-D4-REGULATORY-POLICY-AWARENESS-01; NH-INDUSTRY-HEALTHCARE-D4-REGULATORY-POLICY-AWARENESS-02; NH-INDUSTRY-PUBLIC-D4-REGULATORY-POLICY-AWARENESS-01; NH-INDUSTRY-PUBLIC-D4-REGULATORY-POLICY-AWARENESS-03","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity."
"communication-thread","Email / chat / ticket thread","D6","Trust and challenge culture","awareness","high","5","NH-CORE-GENERAL-D6-TRUST-CULTURE-AWARENESS-04; NH-FUNCTION-PEOPLE-D6-TRUST-CULTURE-AWARENESS-02; NH-FUNCTION-PEOPLE-D6-TRUST-CULTURE-AWARENESS-04; NH-INDUSTRY-PUBLIC-D6-TRUST-CULTURE-AWARENESS-01; NH-INDUSTRY-PUBLIC-D6-TRUST-CULTURE-AWARENESS-03","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity."
"communication-thread","Email / chat / ticket thread","D6","Trust and challenge culture","applied","high","5","NH-CORE-GENERAL-D6-TRUST-CULTURE-APPLIED-04; NH-FUNCTION-PEOPLE-D6-TRUST-CULTURE-APPLIED-01; NH-FUNCTION-PEOPLE-D6-TRUST-CULTURE-APPLIED-04; NH-INDUSTRY-PUBLIC-D6-TRUST-CULTURE-APPLIED-01; NH-INDUSTRY-PUBLIC-D6-TRUST-CULTURE-APPLIED-03","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity."
"communication-thread","Email / chat / ticket thread","D4","Data protection and privacy","advanced","high","5","NH-FUNCTION-PEOPLE-D4-DATA-PRIVACY-ADVANCED-02; NH-FUNCTION-PEOPLE-D4-DATA-PRIVACY-ADVANCED-04; NH-INDUSTRY-HEALTHCARE-D4-DATA-PRIVACY-ADVANCED-01; NH-INDUSTRY-HEALTHCARE-D4-DATA-PRIVACY-ADVANCED-02; NH-INDUSTRY-HEALTHCARE-D4-DATA-PRIVACY-ADVANCED-03","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity."
"communication-thread","Email / chat / ticket thread","D6","Human-AI role clarity","advanced","high","5","NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-ADVANCED-01; NH-FUNCTION-PEOPLE-D6-ROLE-CLARITY-ADVANCED-02; NH-INDUSTRY-HEALTHCARE-D6-ROLE-CLARITY-ADVANCED-01; NH-INDUSTRY-HEALTHCARE-D6-ROLE-CLARITY-ADVANCED-02; NH-INDUSTRY-HEALTHCARE-D6-ROLE-CLARITY-ADVANCED-03","Realistic email/chat/ticket thread with sender, dates, attachments, and ambiguous or risky claim highlighted.","Create a realistic business email, chat, or support-ticket thread with sender identity, timestamps, quoted prior message, attachment reference, and one risky ambiguity."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D2","Agentic workflows","advanced","high","5","NH-CORE-GENERAL-D2-AGENTIC-WORKFLOWS-ADVANCED-01; NH-FUNCTION-GENERAL-D2-AGENTIC-WORKFLOWS-ADVANCED-02; NH-EXECUTIVE-TRANSFORMATION-D2-AGENTIC-WORKFLOWS-ADVANCED-02; NH-EXECUTIVE-TRANSFORMATION-D2-AGENTIC-WORKFLOWS-ADVANCED-03; NH-EXECUTIVE-TRANSFORMATION-D2-AGENTIC-WORKFLOWS-ADVANCED-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D1","AI systems literacy","proficient","high","5","NH-FUNCTION-FINANCE-D1-AI-SYSTEMS-PROFICIENT-03; NH-EXECUTIVE-CEO-D1-AI-SYSTEMS-PROFICIENT-02; NH-EXECUTIVE-FINANCE-D1-AI-SYSTEMS-PROFICIENT-02; NH-EXECUTIVE-FINANCE-D1-AI-SYSTEMS-PROFICIENT-03; NH-EXECUTIVE-TRANSFORMATION-D1-AI-SYSTEMS-PROFICIENT-02","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D3","Fraud and manipulation detection","awareness","high","5","NH-FUNCTION-FINANCE-D3-FRAUD-DETECTION-AWARENESS-03; NH-EXECUTIVE-FINANCE-D3-FRAUD-DETECTION-AWARENESS-01; NH-EXECUTIVE-FINANCE-D3-FRAUD-DETECTION-AWARENESS-02; NH-EXECUTIVE-FINANCE-D3-FRAUD-DETECTION-AWARENESS-03; NH-EXECUTIVE-FINANCE-D3-FRAUD-DETECTION-AWARENESS-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D4","Regulatory and policy fluency","awareness","high","5","NH-FUNCTION-FINANCE-D4-REGULATORY-POLICY-AWARENESS-03; NH-EXECUTIVE-PEOPLE-D4-REGULATORY-POLICY-AWARENESS-02; NH-EXECUTIVE-PEOPLE-D4-REGULATORY-POLICY-AWARENESS-04; NH-EXECUTIVE-FINANCE-D4-REGULATORY-POLICY-AWARENESS-02; NH-EXECUTIVE-FINANCE-D4-REGULATORY-POLICY-AWARENESS-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D6","Human-AI role clarity","awareness","high","5","NH-FUNCTION-FINANCE-D6-ROLE-CLARITY-AWARENESS-03; NH-EXECUTIVE-PEOPLE-D6-ROLE-CLARITY-AWARENESS-01; NH-EXECUTIVE-PEOPLE-D6-ROLE-CLARITY-AWARENESS-04; NH-EXECUTIVE-FINANCE-D6-ROLE-CLARITY-AWARENESS-01; NH-EXECUTIVE-FINANCE-D6-ROLE-CLARITY-AWARENESS-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D3","Source and claim verification","applied","high","5","NH-EXECUTIVE-CEO-D3-SOURCE-VERIFICATION-APPLIED-03; NH-EXECUTIVE-PEOPLE-D3-SOURCE-VERIFICATION-APPLIED-01; NH-EXECUTIVE-PEOPLE-D3-SOURCE-VERIFICATION-APPLIED-03; NH-EXECUTIVE-TRANSFORMATION-D3-SOURCE-VERIFICATION-APPLIED-02; NH-EXECUTIVE-TRANSFORMATION-D3-SOURCE-VERIFICATION-APPLIED-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D5","Strategy and transformation","awareness","high","5","NH-EXECUTIVE-CEO-D5-TRANSFORMATION-STRATEGY-AWARENESS-03; NH-EXECUTIVE-CEO-D5-TRANSFORMATION-STRATEGY-AWARENESS-04; NH-EXECUTIVE-FINANCE-D5-TRANSFORMATION-STRATEGY-AWARENESS-02; NH-EXECUTIVE-FINANCE-D5-TRANSFORMATION-STRATEGY-AWARENESS-03; NH-EXECUTIVE-TRANSFORMATION-D5-TRANSFORMATION-STRATEGY-AWARENESS-02","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D6","Trust and challenge culture","awareness","high","5","NH-EXECUTIVE-CEO-D6-TRUST-CULTURE-AWARENESS-02; NH-EXECUTIVE-CEO-D6-TRUST-CULTURE-AWARENESS-04; NH-EXECUTIVE-PEOPLE-D6-TRUST-CULTURE-AWARENESS-01; NH-EXECUTIVE-PEOPLE-D6-TRUST-CULTURE-AWARENESS-02; NH-EXECUTIVE-PEOPLE-D6-TRUST-CULTURE-AWARENESS-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D2","Output refinement","proficient","high","5","NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-PROFICIENT-01; NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-PROFICIENT-02; NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-PROFICIENT-03; NH-EXECUTIVE-TRANSFORMATION-D2-OUTPUT-REFINEMENT-PROFICIENT-02; NH-EXECUTIVE-TRANSFORMATION-D2-OUTPUT-REFINEMENT-PROFICIENT-04","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"data-chart-dashboard","Dashboard / chart / calculation evidence","D2","Output refinement","advanced","high","5","NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-ADVANCED-01; NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-ADVANCED-02; NH-EXECUTIVE-PEOPLE-D2-OUTPUT-REFINEMENT-ADVANCED-04; NH-EXECUTIVE-TRANSFORMATION-D2-OUTPUT-REFINEMENT-ADVANCED-02; NH-EXECUTIVE-TRANSFORMATION-D2-OUTPUT-REFINEMENT-ADVANCED-03","Dashboard or spreadsheet-style table with enough numeric evidence to calculate or compare outcomes.","Create a realistic business dashboard or spreadsheet panel with baseline, current result, cost, benefit, risk, confidence, and one misleading metric that users must catch."
"media-asset-review","Media / asset provenance evidence","D5","Strategy and transformation","proficient","high","5","NH-CORE-GENERAL-D5-TRANSFORMATION-STRATEGY-PROFICIENT-04; NH-CORE-GENERAL-D5-TRANSFORMATION-STRATEGY-PROFICIENT-08; NH-EXECUTIVE-FINANCE-D5-TRANSFORMATION-STRATEGY-PROFICIENT-03; NH-EXECUTIVE-TRANSFORMATION-D5-TRANSFORMATION-STRATEGY-PROFICIENT-01; NH-EXECUTIVE-TRANSFORMATION-D5-TRANSFORMATION-STRATEGY-PROFICIENT-04","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"media-asset-review","Media / asset provenance evidence","D6","Learning and improvement loops","applied","high","5","NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-APPLIED-01; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-APPLIED-02; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-APPLIED-03; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-APPLIED-04; NH-EXECUTIVE-TRANSFORMATION-D6-LEARNING-LOOPS-APPLIED-01","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"media-asset-review","Media / asset provenance evidence","D6","Learning and improvement loops","proficient","high","5","NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-PROFICIENT-01; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-PROFICIENT-02; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-PROFICIENT-03; NH-FUNCTION-MARKETING-D6-LEARNING-LOOPS-PROFICIENT-04; NH-EXECUTIVE-TRANSFORMATION-D6-LEARNING-LOOPS-PROFICIENT-01","Media review board showing image/asset, license terms, caption/source, and provenance checks.","Create a realistic media provenance review board with thumbnail, caption, source/date fields, license scope, detector result, and a highlighted mismatch."
"security-audit-log","Security / access / audit evidence","D5","ROI and measurement","awareness","high","5","NH-FUNCTION-GENERAL-D5-ROI-METRICS-AWARENESS-03; NH-FUNCTION-FINANCE-D5-ROI-METRICS-AWARENESS-02; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-AWARENESS-01; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-AWARENESS-03; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-AWARENESS-04","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"security-audit-log","Security / access / audit evidence","D5","ROI and measurement","advanced","high","5","NH-FUNCTION-GENERAL-D5-ROI-METRICS-ADVANCED-03; NH-FUNCTION-FINANCE-D5-ROI-METRICS-ADVANCED-02; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-ADVANCED-01; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-ADVANCED-03; NH-INDUSTRY-FINANCIAL-D5-ROI-METRICS-ADVANCED-04","Realistic access log, vendor questionnaire, permission console, or audit trail with key fields highlighted.","Create a realistic security review artifact with access scopes, actor identity, requested action, approval status, audit timestamps, and one visible control gap."
"source-comparison-pack","Source comparison / version evidence","D4","Fairness, ethics, and rights","awareness","high","5","NH-CORE-GENERAL-D4-FAIRNESS-ETHICS-AWARENESS-02; NH-CORE-GENERAL-D4-FAIRNESS-ETHICS-AWARENESS-05; NH-FUNCTION-PEOPLE-D4-FAIRNESS-ETHICS-AWARENESS-03; NH-EXECUTIVE-BOARD-D4-FAIRNESS-ETHICS-AWARENESS-03; NH-EXECUTIVE-BOARD-D4-FAIRNESS-ETHICS-AWARENESS-04","Side-by-side source excerpts with version/date stamps and highlighted conflict, exception, missing citation, or stale source.","Create a realistic two-panel document comparison with version badges, date stamps, source IDs, highlighted conflict/exception text, and a short reviewer note area."
